术语,定义,例句
进度款支付,随工程进展而支付的款项。,进度款在合同资产项下予以确认。
禁止性规定,阻止主体采用特定会计处理方法或选项的限制性规定。,该准则规定，禁止在没有正当理由的情况下追溯变更会计政策。
预期累计福利单位法,一种用于设定受益计划的精算方法。,预期累计福利单位法将福利分配至各个服务期间。
本票（票据）,承诺在未来某一日期支付规定金额的书面凭证。,公司发行本票以获得短期资金。
不动产权益,对某项不动产拥有的权利或权益。,该当事方对租赁的建筑物拥有不动产权益。
不动产重估,在重估模式下将不动产重新表述为公允价值。,该项不动产重估提高了建筑物的账面金额，并产生了重估盈余。
不动产、厂房和设备,为生产商品或提供服务而持有的有形资产。,机器归类为不动产、厂房和设备。
不动产、厂房和设备——项目减值或灭失的补偿,因不动产和设备减值或灭失而收到的补偿。,因项目灭失而收到的补偿计入当期损益。
不动产、厂房和设备——重大检查或大修成本,作为资产组成部分确认的重大检查成本。,重大检查成本在满足确认标准时予以资本化。
比例合并法,将资产和负债的相应份额予以合并。,对于合营企业而言，比例合并法已不再常用。
比例权益,与主体持股比例相对应的、在某一安排的经营成果或净资产中所占的份额。,在比例合并法下，合营者确认了其在合营企业资产中的比例权益。
拟议改进项目,对准则的建议性修订。,拟议改进项目已公开征求意见。
未来适用法,仅将变更适用于变更日期之后发生的事项。,新会计政策自一月起未来适用。
预计负债,时间或金额不确定的负债。,已针对质量保证义务确认了一项预计负债。
暂定价值,在企业合并中，当资产或负债的公允价值尚未最终确定时确认的临时金额。,所购入无形资产的暂定价值已在计量期间内进行了调整。
预计负债、或有负债和或有资产,规范预计负债和或有事项确认的准则。,国际会计准则第37号涵盖预计负债、或有负债和或有资产。
代理（代理权）,受权代表他人行事的人或文件。,股东可以在大会上以代理方式投票。
谨慎性,在不确定性情况下作出判断时保持审慎。,谨慎性支持对不确定估计进行中立处理。
审慎监管机构,监督金融稳定性的监管机构。,审慎监管机构要求银行持有充足的资本。
公共受托责任,主体就其受托管理的资源向公众承担问责责任的义务，是应用国际财务报告准则的一项判断标准。,公共受托责任是决定主体是否必须应用国际财务报告准则的标准之一。
公众公司,证券公开交易的主体。,公众公司必须应用完整的国际财务报告准则。
公共部门,提供公共服务的政府控制的主体。,公共部门主体可以应用国际公共部门会计准则来代替国际财务报告准则。
公开证券市场,证券公开交易的市场。,该股票在公开证券市场上挂牌交易。
“公转私”服务特许经营安排,政府授予私营经营者提供公共服务之权利的安排。,该收费公路是在“公转私”服务特许经营安排下运营的。
上市公司,证券在公开市场上交易的主体。,上市公司必须提交季度报告。
“公布支付款项”运动,敦促公司披露向政府支付款项的运动。,“公布支付款项”运动促进采掘业的透明度。
公布价格,活跃市场中可获得的报价。,为确定公允价值使用了公布价格。
购买对价,购买方在企业合并中支付的对价。,购买对价可能包括或有付款。
购买法,一种企业合并会计处理方法，据此购买方按公允价值确认可辨认资产和负债。,在购买法下，合并成本被分配至购得的可辨认资产。
购买价格,为取得某项东西而支付的价格。,购买价格被分配至购得的资产。
购入期权套期工具,为在套期关系中抵销风险敞口而购入的期权。,购入期权套期工具限制了主体的下行风险。
购入期权,主体作为持有方取得的期权合同。,持有购入期权是为了对冲价格风险。
看跌期权,赋予持有人以既定价格出售资产的权利（而非义务）的合同。,非控制性权益持有一项看跌期权，该期权可能要求集团购买其股份。
可回售,允许持有人要求赎回的工具。,可回售股份归类为金融负债。
可回售金融工具及清算时产生的义务,赋予持有人回售权利的工具。,可回售工具可能要求发行人回购股份。
可回售工具,允许持有人要求赎回的工具。,在严格条件下，可回售工具可以归类为权益。
符合确认/终止确认条件,满足确认或移除某一项目的标准。,资产在记录入账之前必须符合确认条件。
符合条件的资产,必然需要经过相当长的准备时间才能达到预定用途或出售状态的资产，其借款费用可以资本化。,借款费用在与符合条件的资产的取得相关的范围内予以资本化。
符合条件的保险单,满足规定标准的保险单。,该符合条件的保险单为退休福利提供保障。
质量特征,使财务信息对使用者有用的属性。,相关性和如实反映是基本的质量特征。
定量披露,在财务报表中披露的数字信息。,已提供有关信用风险的定量披露。
公开报价的权益工具,可以获取已公布市场价格的权益工具。,该公开报价的权益工具的公允价值以收盘市场价格为基础。
市场报价,该资产在活跃市场中可获得的价格。,公允价值等于市场报价。
已评级与未评级的信用风险敞口,按是否具有信用评级进行分类的信用风险敞口。,该银行披露了其已评级和未评级的信用风险敞口。
重新取得的权利,购买方在企业合并中重新取得的权利。,重新取得的权利与商誉分开确认。
购回条款,与购回某一项目相关的条款。,购回条款影响该合同的计量。
可随时从市场购得的资产,可以在市场上购买、作为自行建造或开发之替代方式的资产。,自行建造资产的成本不应超过同等质量的可随时从市场购得的资产的成本。
可变现价值,通过出售可以获得的金额。,存货按成本与可变现价值两者中的较低者计量。
合理估计,基于充分信息和审慎判断作出的估计。,该预计负债基于对未来成本的合理估计。
合理可能,发生的可能性大于极小可能但小于很可能。,一项损失被评估为合理可能，而非很可能发生。
重新评估,对先前的判断或计量进行复核，以确定其是否仍然适当。,在续租选择权行使之后，需要对租赁期进行重新评估。
嵌入衍生工具的重新评估,要求复核嵌入衍生工具是否必须分离的准则。,国际财务报告解释委员会第9号解释公告涉及嵌入衍生工具的重新评估。
返利,购买之后返还给客户的款项。,主体将返利确认为收入的抵减项。
可推翻的推定,除非被证据推翻否则予以接受的假定。,存在一项可推翻的推定，即购买方为原所有者。
应收款项,客户或其他方欠付主体的款项。,应收款项按摊余成本扣除减值后的金额计量。
重新分类调整,当期从其他综合收益重分类转入损益的金额。,重新分类调整单独披露，以避免其他综合收益项目被重复计算。
重新分类日期,某一项目被重新分类的日期。,重新分类日期标志着计量的变更。
已确认的金融工具,在财务状况表中记录的金融工具。,资产负债表中仅列示已确认的金融工具。
确认,将某一项目纳入财务报表的过程。,该资产在控制权转移时予以确认。
确认为费用,将某项成本作为损益中的费用而非资产处理。,研究成本在发生时确认为费用。
确认标准,在财务报表中记录某一项目所需满足的条件。,该资产满足了确认标准。
调节,使两组数字保持一致的过程。,该调节解释了两个余额之间的差异。
有追索权贷款,贷款人对借款人拥有追索权的贷款。,该有追索权贷款被确认为金融负债。
可收回性,收回账面金额的能力。,该资产的可收回性受到质疑。
可收回的,能够通过未来使用或出售予以收回，而非予以注销。,该资产的账面金额已减记至其可收回金额。
可收回金额,公允价值减去相关成本后的金额与使用价值两者中的较高者。,可收回金额超过了账面金额。
重分类转出,将其他综合收益中的金额转入损益。,对于某些项目，允许将处置利得重分类转入损益。
赎回,发行人偿还或注销某一工具。,该债券可由发行人选择予以赎回。
赎回金额,金融工具被赎回时应向持有人支付的金额。,优先股的赎回金额已在附注中披露。
赎回价格,在到期日或之前赎回证券所支付的金额。,赎回价格被定为面值。
禁止赎回,防止主体赎回其自身工具的限制。,该优先股适用禁止赎回的规定。
再融资,用新的融资替代现有债务。,在年末之前完成的再融资使相关债务得以列为非流动负债。
重新编排,为新的列报而重新编排。,为保持一致性，比较金额经过了重新编排。
重新编排的国际会计准则,经重新编排或以新格式重新发布而实质要求未发生变化的准则。,重新编排的国际会计准则已发布，其中引用已更新，但内容未发生变化。
退款或未来缴款的减少,从福利计划中收回的金额。,退款反映计划存在盈余。
常规方式购买或出售,按照标准合同购买或出售金融资产。,常规方式购买在交易日或结算日予以确认。
监管机构,监督和管理金融市场的机构。,监管机构要求该银行进行额外披露。
修复—运营—移交,一种特许经营模式，经营者对现有基础设施进行翻新、运营，然后将其移交回公共部门。,该水处理厂在修复—运营—移交特许经营下进行了现代化改造。
补偿,对已发生的成本或损失收到的补偿。,保险人确认了对该项损失的补偿。
再保险资产,确认为资产的分出再保险金额。,再保险资产与负债分开列报。
再保险合同,保险人据以将风险转移给再保险人的合同。,该再保险合同已就重大风险转移进行评估。
再保险人,为另一保险人承保的保险人。,再保险人承担保险人风险的一部分。
股利再投资,将收到的股利用于购买额外股份，而非收取现金。,股东选择股利再投资，以获取该公司的额外股份。
关联方,与主体存在关系的各方。,关联方包括关键管理人员。
关联方披露,国际会计准则第24号，要求披露关联方交易。,关联方披露要求披露关键管理人员的报酬。
关联方交易,关联方之间的资源转移。,每一项关联方交易都必须予以披露。
相关性,信息能够对使用者的决策产生差异的质量特征。,该信息具有预测价值，因此具备相关性。
可靠性,不存在重大错误的信息质量。,审计师对该估计的可靠性提出质疑。
可靠性例外,出于可靠性原因而允许偏离某项要求的例外。,可靠性例外适用于某些关联方披露。
可靠计量测试,测试某项金额是否能够可靠地计量。,该项预计负债未能通过可靠计量测试。
重载特征,自动授予新期权的特征。,重载特征在行权时授予额外期权。
重载期权,一种股份期权特征，即在现有期权被行权时，向持有人授予新期权以替代所使用的股份。,根据重载期权特征，行权使持有人获得了涉及相同数量股份的新期权。
重新计量,利用新信息对金额进行重新计算。,计划的重新计量在其他综合收益中确认。
账户移除条款,从证券化结构中移除账户的权利。,账户移除条款使转让人能够撤回应收账款。
提供服务,通过提供服务从合同中产生收入。,提供服务的收入在某一时段内确认。
续约权,承租人或交易对手延长合同期限的权利。,在确定可执行的租赁期时考虑了续约权。
改组,对主体的法律或经营结构进行重组。,改组通常涉及重大的一次性成本。
重新包装,以新的形式组合并转售金融工具。,重新包装交易被排除在合并范围之外。
修理和维护,为使资产保持可用状态而进行的日常性支出。,修理和维护支出在发生时计入费用。
偿还,归还借入的资金。,该贷款应在五年内偿还。
替代奖励,为替代现有奖励而授予的以股份为基础的支付奖励，例如在企业合并中授予。,授予被购买方员工的替代奖励参照原奖励进行计量。
资产的重置成本,重置一项资产所需的成本。,重置成本反映现行市场价格。
再质押,将从交易对手收到的抵押品质押给第三方。,该银行将作为抵押品收到的证券进行了再质押。
报告分部,达到单独报告门槛的分部。,本年仅确定了一个报告分部。
报告货币,主体列报财务报表所使用的货币。,境外经营的成果已折算为报告货币。
报告货币——国际会计准则第21号和国际会计准则第29号下财务报表的计量与列报,关于在国际会计准则第21号和国际会计准则第29号下计量和列报财务报表的指引。,该文件讨论了国际会计准则第21号和国际会计准则第29号下的报告货币。
报告货币——从计量货币到列报货币的折算,将金额从计量货币转换为报告货币。,折算为列报货币时采用期末汇率。
报告日,主体财务报表所对应的日期。,资产按报告日予以计量。
报告企业,为其编制财务报表的主体。,报告企业列报其自身的财务报表。
报告主体,为其编制并列报财务报表的主体或主体的一部分。,报告主体可以是单一主体，也可以是由母公司及其子公司组成的集团。
报告包,为合并目的而编制的一套报告。,子公司向母公司提交报告包。
报告期间,一套财务报表所涵盖的期间。,报告期间于每年12月31日结束。
如实反映,信息如实反映其所拟反映的经济现象。,如实反映要求信息完整且中立。
回购协议,出售证券并承诺在以后日期买回的协议。,根据回购协议出售的证券被记录为抵押借款。
回购交易,出售资产并约定买回的交易。,回购交易被视为有担保借款。
研究,为获取新知识而进行的原创性调查。,研究支出在发生时计入费用。
准备,权益中为特定目的而拨出的组成部分。,重估价准备在权益中列报。
剩余成本,某项目剩余的账面金额。,剩余成本反映尚未确认的剩余价值。
剩余权益,在其他权益经核算后保留在主体中的剩余权益，通常按公允价值计量。,处置后保留的剩余权益按公允价值重新计量。
残值,使用寿命结束时的估计价值。,从成本中扣除残值即可得出应折旧金额。
国际会计准则理事会的决议——理事会撤销国际会计准则第15号,理事会将国际会计准则第15号从准则中移除的决定。,国际会计准则理事会的决议将国际会计准则第15号从其准则中撤销。
重述,对已发布的财务报表因错误而进行的更正。,需要对前期金额进行重述。
受限股份,受转让或归属限制的股份，通常作为报酬授予员工。,授予高管的受限股份在三年内归属。
重组,实质改变经营范围或经营方式的计划。,此次重组关闭了两家生产工厂。
重组预计负债,为计划重组的成本而确认的负债。,重组预计负债涵盖员工辞退成本。
经营成果,某一期间的利润或亏损。,本年度的经营成果按税后金额列报。
零售价法,使用零售价格估计存货价值的方法。,零售价法按售价减去毛利估计期末存货。
零售连锁店,在共同所有权或共同管理下经营多家零售门店的企业。,该零售连锁店报告本年度同店销售实现强劲增长。
留存收益,未分配的累计利润。,留存收益在权益中列报。
留存利润,留存于主体而非予以分配的累计利润。,留存利润在权益中报告。
退休福利计划,在雇佣结束后提供福利的安排。,该集团发起设立了多项退休福利计划。
追溯分类,将某项分类决定既适用于当期，也适用于以前期间。,分部结构的变更要求对前期数据进行追溯分类。
追溯应用,视同一项新政策自始即被采用而加以应用。,该变更通过追溯应用的方式作出。
追溯重述,更正前期金额，视同该错误从未发生。,该错误已通过追溯重述予以更正。
投资回报率,衡量相对于所做投资的收益的指标。,该项目的投资回报率超过了最低要求回报率。
计划资产回报,在员工福利计划的计划资产上赚取的投资收益。,计划资产回报可减少养老金成本。
重估价,将非流动资产重新计量至其公允价值，增值在其他综合收益中确认。,对该物业的重估价增加了其账面金额，并将产生的增值在其他综合收益中确认。
重估价准备,因资产重估而产生的准备。,物业重估价使重估价准备得以增加。
重估价盈余,资产在重估时账面金额的增加。,重估价盈余在其他综合收益中确认。
资产的重估金额,重估日的公允价值减去其后的折旧。,资产的重估金额取代其账面金额。
收入,主体日常活动产生的收入，例如销售商品或提供服务产生的收入。,客户合同产生的收入在商品控制权转移时确认。
收入——涉及广告服务的易货交易,关于确认广告易货交易收入的指引。,常设解释委员会第31号解释公告涵盖涉及广告服务的易货交易。
转回,对以前已确认金额的减少或取消。,减值损失的转回增加了利润。
反向购买,法律上的被购买方为会计上购买方的企业合并。,在反向购买中，法律上的子公司是会计上的购买方。
反向股份拆分（并股）,合并股份以提高面值。,反向股份拆分会减少流通在外的股份数量。
修订,经修改或更新的，适用于已发生变更的准则、估计或披露。,主体自报告期期初起对未来适用修订后的准则。
修订后的（国际会计准则）,准则的修订版本。,修订后的准则适用于2020年之后开始的年度期间。
撤销指定,取消先前对金融资产或金融负债所作的指定。,主体只能在有限情况下撤销指定。
与租赁资产相关的收益,预期从租赁资产中获得的利益和风险。,与租赁资产相关的收益是融资租赁的标志。
优先购买权,在资产向其他方发出要约之前优先获得该要约的合同权利。,股东对股份的任何转让均享有优先购买权。
抵销权,抵销双方之间所欠款项的法定权利。,主体对这些余额拥有抵销权。
勘探权,主体持有的勘探资源的权利。,主体持有对该海上区块的勘探权。
配股,向现有股东发售新股的要约。,配股按比例向现有股东进行。
弃置、恢复和环境修复基金产生的权益的权利,对弃置基金中的权益所享有的权利。,这些权益权利被确认为一项资产。
风险,实际结果偏离预期结果的可能性，包括信用风险、流动性风险和市场风险等金融风险。,主体披露金融工具产生的风险的性质和程度。
风险敞口,面临风险的金额。,主体按类型披露了其风险敞口。
偏离风险,计量价值朝不同方向变动的风险。,由于变量之间的偏离风险，该套期失败了。
无风险利率,无违约风险投资的回报。,折现率以无风险利率为基础。
风险和报酬,资产所有权带来的风险敞口与利益，用于评估租赁中的转移以及终止确认。,该租赁将所有权上的几乎全部风险和报酬转移给了承租人。
所有权上的风险和报酬,与拥有资产相关的损益敞口。,所有权上风险和报酬的转移决定确认。
与租赁资产相关的风险,因租赁资产的所有权或使用而产生的风险。,与租赁资产相关的几乎全部风险均已转移。
金额回拨,将账面金额减记至较低的先前价值。,主体不得不回拨重估价盈余。
金额结转,将余额结转至下一期间。,变动表将预计负债余额结转至下一期间。
特许权使用费,为取得使用专利或商标等资产的权利而向资产所有者支付的款项。,商标许可产生的特许权使用费收入按权责发生制确认。
出售,以换取对价的方式转让资产。,出售产生的收入在控制权转移时确认。
售后租回交易,所有者出售资产后又将其租回的交易。,公司确认了一项售后租回交易利得。
股票增值权,向员工支付股份价值增值额的权利。,员工被授予了以现金结算的股票增值权。
范围,准则或政策所适用的交易或主体的范围。,该安排属于租赁准则的范围。
国际财务报告准则第2号的范围,股份支付规则适用的范围。,国际财务报告准则第2号的范围包括以权益结算的股份支付。
次要分部信息,按次要报告形式提供的分部披露。,次要分部信息按地区报告。
证券,股票和债券等可交易的金融工具。,为交易而持有的证券以公允价值计量。
证券化,将资产转换为可交易证券。,证券化将金融资产转让给特殊目的主体。
分部,主体中可区分的组成部分，其单独的财务信息可供取得并由管理层评价。,各分部的资产和负债在分部报告附注中披露。
分部资产,可归属于报告分部的资产。,分部资产按各分部予以披露。
分部费用,分部经营活动产生的费用。,分部费用包括可直接归属于该分部的成本。
分部经理,负责报告分部经营活动的人员。,分部经理向首席执行官报告业绩。
分部利润或亏损,向首席经营决策者报告的经营分部利润或亏损。,各报告分部的分部利润或亏损已在附注中披露。
分部报告,按经营分部披露财务信息。,分部报告有助于使用者评价不同的业务板块。
分部业绩,报告经营分部的利润或亏损。,分部业绩在未分配的公司成本之前列报。
分部收入,可归属于报告分部的收入。,分部收入按各报告分部予以披露。
自行建造的资产,由主体自行建造的资产。,自行建造资产的成本包括可直接归属的成本。
自保,主体保留风险而非将其转移给保险人的风险管理方式。,主体对小额财产损失索赔实行自保安排。
销售价格,商品出售的价格。,销售价格决定了该单位的收入。
敏感性分析,显示结果如何随假设变动而变化的技术。,该银行披露了市场风险的敏感性分析。
可分离性,资产能够被分离和出售的能力。,可分离性是无形资产确认的一项标准。
可分离性标准,无形资产能够被分离并出售或转让的条件。,该软件符合可分离性标准，并被确认为无形资产。
可分离资产,能够被分离并独立出售的资产。,在购买价格分摊中识别出了可分离资产。
单独财务报表,母公司或投资者单独列报的报表。,单独财务报表中子公司按成本核算。
单独负债,单独确认而非作为另一项目组成部分的负债。,该担保被确认为一项单独负债。
可单独识别,能够被单独识别。,该资产可与商誉分开单独识别。
服务特许权安排,政府授予私营经营者在特定期间内提供公共服务的权利的安排。,在服务特许权安排下，经营者确认一项金融资产或无形资产。
服务成本,当期赚取的福利。,服务成本在损益中确认。
服务日期,员工在计划下提供服务的日期。,福利自员工的服务日期起累积。
服务商标,区分某一提供者所提供服务的商标。,公司为其品牌注册了一项服务商标。
服务资产,因服务金融资产而收取的超过充分补偿的费用的一项权利。,留存的服务资产在初始时以公允价值计量。
服务费用,为他人管理贷款或资产的成本。,服务费用减少了净利息收入。
服务负债,对转让后留存的金融资产提供服务的义务。,服务负债初始以公允价值计量。
服务负债,为金融资产提供服务的义务。,已为留存的服务确认了一项服务负债。
服务权,为已转让金融资产提供服务的权利。,服务权在资产转让时确认。
一套财务报表,列报主体财务状况、经营业绩和现金流量所必需的完整报表组合。,一套完整的财务报表包括财务状况表、利润表及其他报表。
法定抵销权,抵销款项的法定权利。,抵销余额必须拥有法定抵销权。
净额结算,仅交付净额以结算合同。,这些合同以现金净额结算。
结算,通过支付或转移资源来清偿负债。,该义务的结算发生在下一期间。
职工福利义务的结算,就部分或全部福利消除进一步法定义务或推定义务的交易。,养老金义务的结算产生了一项在损益中确认的利得。
结算日,交易最终结算的日期。,该交易在结算日入账。
结算日会计,在资产交付之日确认交易。,主体对常规交易采用结算日会计。
结算预计负债,为预期结算而确认的预计负债。,已为该项索赔确认了一项结算预计负债。
结算价值,负债据以结算的价值。,结算价值已与对手方商定。
按份责任,共同义务中，每一方仅就其自身所承担的负债份额负责的情形。,根据合伙协议，每位合伙人对企业的债务按其各自份额承担责任。
影子会计,使保单持有人的会计与股东的会计保持一致的处理方法。,影子会计会递延某些未实现的利得。
股份,公司资本中所有权权益的单位。,每一股享有一项表决权。
股票增值权,以股价上涨为基础、以现金结算的奖励。,股票增值权按公允价值计量。
股份回购安排,企业从股东手中回购其自身股份的协议。,根据股份回购安排取得的库存股已从权益中扣减。
股份看涨期权,赋予持有人按既定价格购买股份的权利的合同。,高级管理人员获授了股份看涨期权。
股本,股份持有人投入的资本金额。,股本列示于财务状况表中。
股本——重新取得的自有权益工具（库存股）,购回并从权益中扣减的自有股份。,库存股从权益中扣减。
股份合并,将多股合并为一股。,股份合并减少了普通股的数量。
股份期权,赋予持有人在既定期限内按指定价格购买企业股份的权利的合同。,股份期权的可行权条件要求员工持续服务三年。
股份期权计划,向员工授予股份期权的计划。,该股份期权计划在三年内归属。
股本溢价,发行股份所收取的超过其面值的金额。,此次发行产生了200万的股本溢价。
股份拆分,在不改变资本总额的情况下增加流通在外股份的数量。,股份拆分使已发行股份的数量翻了一番。
认股权证,赋予持有人在既定日期之前按指定价格购买股份的权利的证券。,公司发行的认股权证被归类为权益工具。
以股份为基础的支付,规范以股份或现金结算的支付的会计处理的准则。,国际财务报告准则第2号规范以股份为基础的支付交易。
以股份为基础的支付安排,以股份支付商品或服务的协议。,该以股份为基础的支付安排在三年内归属。
以股份为基础的支付奖励,通过发行股份或股份期权结算的奖励。,以股份为基础的支付奖励在服务期内归属。
以股份为基础的支付交易,以股份或期权结算的交易。,以股份为基础的支付交易按公允价值计量。
股东,拥有公司股份并对公司净资产享有剩余权益的个人或实体。,向股东支付的股利直接在权益中确认。
股东权益,从资产中扣除负债后的剩余权益。,股东权益由股本和储备组成。
卖空者,出售借入证券、预期价格将下跌的交易方。,卖空者日后必须归还所借入的股份。
短期雇员福利,雇员提供服务后十二个月内到期的福利。,短期雇员福利包括工资和带薪休假。
常设解释委员会,原先就国际会计准则的应用发布解释公告的委员会（现已被取代）。,常设解释委员会的解释已逐渐被国际财务报告解释委员会的解释所取代。
重大影响,参与财务和经营政策决策的权力。,持股30%通常会产生重大影响。
单一产品企业,收入主要来源于单一产品的企业。,单一产品企业仍可能报告经营分部。
偿债基金,为在债务到期时偿还债务而预留的资金。,企业设立了偿债基金以偿还债券。
社会保障,由国家提供的福利计划。,社会保障缴款被确认为费用。
社会保障缴款,雇主或雇员为雇员福利而向社会保障体系支付的款项。,社会保障缴款在相关雇员服务提供的期间被确认为费用。
偿债能力,到期偿付债务的能力。,偿债能力通过流动性和资本比率进行评估。
特殊目的实体,为狭义且明确界定的目的而设立的实体。,该银行设立了一家特殊目的实体以持有证券化资产。
特殊目的实体,为狭义且明确界定的目标而设立的实体。,该特殊目的实体是为持有证券化资产而设立的。
成本的个别认定,将成本直接归属于特定项目而非通过分摊进行分配的方法。,该建设项目采用成本个别认定法对成本进行了归属。
明确认定的现金流量,与特定资产或负债明确相关的现金流量。,该套期与明确认定的现金流量进行了匹配。
投机级,低于投资级、表明风险较高的信用评级。,该债券在评级下调后降至投机级。
公司分立（分拆）,将企业的部分业务分离为独立实体的行为。,此次分立将子公司的股份分配给了股东。
发起雇主,为福利计划出资的雇主。,发起雇主承担养老金计划的风险。
即期汇率,用于货币即时交割的汇率，在外币交易初始确认时用于折算。,该外币交易按交易日的即期汇率入账。
即期外汇风险,由即期汇率产生的风险。,即期外汇风险产生于即时结算。
即期汇率,用于货币即时交割的汇率。,该交易按当日的即期汇率折算。
单独基础,不考虑其母公司或集团而单独考虑某一实体的方式。,该子公司按单独基础进行了评估。
独立衍生工具,独立存在而非嵌入另一合同中的衍生工具。,该远期合同是按公允价值计量的独立衍生工具。
单独实体,不合并其他实体而进行报告的实体。,母公司编制了单独财务报表。
备用信贷额度,在需要时可动用的已承诺借款安排。,备用信贷额度提供后备流动性支持。
标准成本法,采用预先制定的标准成本对存货进行成本核算的方法。,常规存货计价采用标准成本法。
备用信用证,银行出具的付款担保。,该备用信用证为企业的付款义务提供支持。
常设解释委员会,为处理不一致或不可接受的会计处理而制定会计准则解释的委员会。,常设解释委员会发布了解释公告，以澄清现行准则的应用。
开办费,设立新业务所发生的成本。,开办费在发生时计入费用。
国家（雇员福利）计划,由政府而非报告主体运营的计划。,向国家计划缴纳的款项在到期时确认为费用。
国家控制的企业,通过所有权或权力受政府控制的实体。,国家控制的企业可适用某些披露豁免。
明示或默示的实质性条款,合同中产生可强制执行的权利和义务的明示或默示条款。,合同明示或默示的实质性条款表明存在一项租赁。
现金流量表,反映一定期间内现金流入和流出的报表。,现金流量表反映经营活动。
权益变动表,反映当期权益变动的报表。,权益变动表将期初余额与期末余额进行调节。
遵循国际财务报告准则的声明,声明财务报表遵循国际财务报告准则的表述。,遵循国际财务报告准则的声明必须明确且无保留。
综合收益表,反映损益及其他综合收益的报表。,综合收益表包括重估利得。
财务状况表,反映企业在特定日期的资产、负债和权益的财务报表。,财务状况表列示报告期末的资产、负债和权益。
利润表,报告损益的报表。,利润表列示收入和费用。
分步法,通过连续步骤分析交易的方法。,采用分步法评估了嵌入衍生工具。
阶梯式利率,按预定阶梯发生变化的利率。,该贷款承担逐年上升的阶梯式利率。
管理层的受托责任,管理层对所有者托付给其的资源所承担的受托责任。,有关管理层受托责任的信息有助于使用者评估资源的利用效率。
证券交易所上市,实体的证券获准在证券交易所上市交易。,此次上市筹集了新资本。
止损再保险,承保超过约定限度的损失的再保险。,该止损再保险合同为灾难性赔款提供保障。
一般债务,不含嵌入衍生工具或权益特征的债务。,一般债务按摊余成本计量。
直线法,在使用寿命内平均分摊成本的方法。,直线法每年计提相等的折旧。
压力测试,评估实体财务状况在不利情景下所受影响的分析。,该银行进行了压力测试，以评估其在不利经济条件下的资本充足性。
后续利得,初始确认之后产生的利得。,一项后续利得被确认为损益。
子公司,受另一实体（母公司）控制的实体。,母公司合并其所有子公司。
政府补助,政府向实体提供的援助。,政府补助在整个期间内确认为收入。
实质重于形式,交易按其经济实质而非仅按其法律形式进行会计处理的原则。,运用实质重于形式原则，该交易被作为融资安排处理。
实质上已颁布,在实质上已获批准但尚未正式生效的法律。,递延所得税采用实质上已颁布的税率进行计量。
养老金计划,向其成员提供养老金的退休福利计划。,雇员每月向养老金计划缴款。
被取代的版本,准则被新版本取代的早期版本。,准则的被取代版本不再适用。
监督型非管理董事,不担任管理职务的董事会成员。,监督型非管理董事负责监督管理层。
供应商,在日常经营过程中向主体提供商品或服务的一方。,主体为改善营运资金而与其主要供应商重新磋商了付款条件。
供货协议,供应商品或服务的协议。,该供货协议将价格固定了五年。
保证债券,担保另一方履行义务的债券（保证书）。,为保证建筑合同的履行而出具了保证债券。
计划盈余,计划资产超过福利义务的部分。,计划盈余被确认为一项资产。
退保选择权,保单持有人终止保险合同并领取退保价值的权利。,在计量保险负债时考虑了退保选择权。
退保风险,保单持有人提前解除合同的风险。,保险人在计量负债时会估计退保风险。
退保价值,保险单提前解除时应支付的金额。,保单最初几年的退保价值较低。
替代计量方法,在无法直接计量时使用的替代计量方法。,采用了替代计量方法来估计公允价值。
互换合同,交换现金流量的协议。,该利率互换对浮动利率进行了套期。
互换期权,赋予持有人在未来某一日订立利率互换的权利的期权。,主体购买了一份互换期权，以防范未来利率上升。
对称方法,对交易双方进行对称处理的方法。,对称方法确保了处理的一致性。
银团（辛迪加）安排,多家贷款人共同提供融资的安排。,该贷款是通过与五家银行的银团安排筹组的。
合成工具,运用衍生工具复制另一工具回报的工具。,由两份衍生工具合同构成了一项合成工具。
“污染”效应,出售持有至到期投资所产生的影响，迫使主体对其余投资组合进行重分类。,债券的出售导致了“污染”效应，其余投资被重分类为可供出售的投资。
照付不议合同,即使未提取货物也必须付款的合同。,照付不议合同保证了最低付款额。
有形资产,具有实物形态、为使用或出售而持有的资产。,有形资产包括机器和建筑物。
有形固定资产,为经营中使用而持有的实物资产。,机器被确认为有形固定资产。
有针对性的豁免,对某项要求的有限例外。,有针对性的豁免降低了首次采用准则的成本。
税,政府对所得、利润或交易强制征收的费用。,当期所得税按预计向税务机关支付的金额计量。
计税基础,为税务目的而计于某项资产的金额。,计税基础与账面金额不同。
资产或负债的计税基础,为税务目的而计于某项资产或负债的金额。,该资产的计税基础与其账面金额不同。
税收利益,应交税款的减少或递延所得税资产的增加。,该可抵扣暂时性差异产生了一项税收利益。
税务影响,在财务报表中确认的交易或调整所产生的所得税后果。,重估产生的税务影响已计入其他综合收益。
所得税费用（所得税收益）,在损益中确认的税项总额。,由于递延所得税增加，所得税费用上升。
税收管辖区,拥有自身征税机关的国家或地区。,递延所得税按各税收管辖区分别计量。
税项负债,向税务机关缴纳税款的义务。,当期税项负债在十二个月内清偿。
税务目的,与征税相关的目的。,资产的计税基础是为税务目的而确定的。
税率,对主体的应税所得或利润征税所适用的百分比。,递延所得税余额按负债清偿期间预计适用的税率重新计量。
应税利润（可抵扣亏损）,为税务目的而确定的利润或亏损。,应税利润依据税法确定。
