Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
P,Purchase method,Satın alma yöntemi,A method of accounting for a business combination in which the acquirer recognises the identifiable assets and liabilities at fair value.,"Under the purchase method, the cost of the combination is allocated to the identifiable assets acquired.","Satın alma yöntemi kapsamında, birleşme maliyeti edinilen tanımlanabilir varlıklara tahsis edilir."
P,Purchase price,Satın alma fiyatı,The price paid to acquire something.,The purchase price was allocated to the assets acquired.,"Satın alma fiyatı, edinilen varlıklara dağıtıldı."
P,Purchased option hedging instrument,Satın alınmış finansal riskten korunma aracı opsiyonu,Option bought to offset exposure in a hedging relationship.,A purchased option hedging instrument caps the entity's downside risk.,"Satın alınmış bir opsiyon finansal riskten korunma aracı, işletmenin zarar riskini sınırlar."
P,Purchased options,Satın alınmış opsiyon,Option contracts acquired by the entity as a holder.,Purchased options were held to hedge price risk.,Fiyat riskine karşı korunmak amacıyla satın alınmış opsiyonlar tutuldu.
P,Put option,Satım opsiyonu,"A contract giving the holder the right, but not the obligation, to sell an asset at a set price.",The non-controlling interest held a put option that could require the group to buy its shares.,"Kontrol gücü olmayan pay, grubun hisselerini satın almasını gerektirebilecek bir satım opsiyonuna sahipti."
P,Puttable,Satılabilir,Instrument allowing the holder to require redemption.,Puttable shares are classified as financial liabilities.,Satılabilir paylar finansal borç olarak sınıflandırılır.
P,Puttable Financial Instruments and Obligations Arising on Liquidation,Satım Opsiyonu Bulunan Finansal Araçlar ve Tasfiye Durumunda Ortaya Çıkan Yükümlülükler,Instruments giving holders a right to put them back.,Puttable instruments may require the issuer to repurchase shares.,"Satım opsiyonu bulunan araçlar, ihraççının hisseleri geri almasını gerektirebilir."
P,Puttable instrument,Satım opsiyonu bulunan finansal araç,An instrument allowing the holder to require redemption.,A puttable instrument may be classified as equity under strict conditions.,"Satım opsiyonu bulunan araç, katı koşullarda özkaynak olarak sınıflandırılabilir."
Q-R,Qualify for recognition/derecognition,Muhasebeleştirme/finansal durum tablosu dışı bırakma kriterini karşılama,Meeting the criteria to recognise or remove an item.,The asset must qualify for recognition before it is recorded.,"Varlık, kaydedilmeden önce muhasebeleştirme kriterini karşılamalıdır."
Q-R,Qualifying asset,Özellikli varlık,"An asset that necessarily takes a substantial period of time to get ready for its intended use or sale, for which borrowing costs may be capitalised.",Borrowing costs are capitalised to the extent they relate to the acquisition of a qualifying asset.,"Borçlanma maliyetleri, özellikli varlığın edinimiyle ilgili oldukları ölçüde aktifleştirilir."
Q-R,Qualifying insurance policy,Özellikli sigorta poliçesi,A policy meeting specified criteria.,The qualifying insurance policy supports the retirement benefit.,"Özellikli sigorta poliçesi, emeklilik faydasını destekler."
Q-R,Qualitative characteristics,Niteliksel özellikler,Attributes that make financial information useful to users.,Relevance and faithful representation are fundamental qualitative characteristics.,İhtiyaca uygunluk ve gerçeğe uygun sunum temel niteliksel özelliklerdir.
Q-R,Quantitative disclosures,Sayısal açıklamalar,Numerical information disclosed in the financial statements.,Quantitative disclosures about credit risk were provided.,Kredi riskine ilişkin sayısal açıklamalar sağlandı.
Q-R,Quoted equity instrument,Borsaya kayıtlı olan özkaynağa dayalı finansal araç,An equity instrument for which published market prices are available.,Fair value of the quoted equity instrument was based on the closing market price.,"Borsaya kayıtlı olan özkaynağa dayalı finansal aracın gerçeğe uygun değeri, kapanış piyasa fiyatına dayanıyordu."
Q-R,Quoted market price,Kayıtlı (kote edilmiş) piyasa fiyatı,Price available in an active market for the asset.,The fair value equals the quoted market price.,"Gerçeğe uygun değer, kote edilmiş piyasa fiyatına eşittir."
Q-R,Rated and unrated credit exposures,Derecelendirilmiş ve derecelendirilmemiş kredilerin tutarları,Credit exposures classified by whether they carry a rating.,The bank disclosed its rated and unrated credit exposures.,"Banka, derecelendirilmiş ve derecelendirilmemiş kredi risklerini açıkladı."
Q-R,Reacquired rights,Yeniden edinilen haklar,Rights reacquired by the acquirer in a business combination.,Reacquired rights are recognised separately from goodwill.,"Yeniden edinilen haklar, şerefiyeden ayrı olarak muhasebeleştirilir."
Q-R,Reacquisition provision,Geri alım koşulu,A provision relating to the reacquisition of an item.,The reacquisition provision affects the contract's measurement.,"Geri alım koşulu, sözleşmenin ölçümünü etkiler."
Q-R,Readily obtainable assets,İstenildiğinde piyasadan elde edilebilecek varlıklar,Assets that can be purchased in the market as an alternative to constructing or developing them.,The cost of a self-constructed asset does not exceed the cost of readily obtainable assets of equivalent quality.,"Kendi inşa edilen bir varlığın maliyeti, eşdeğer kalitede istenildiğinde piyasadan elde edilebilecek varlıkların maliyetini aşmaz."
Q-R,Realisable value,Gerçekleşebilir değer,The amount obtainable on sale.,Inventory is measured at the lower of cost and realisable value.,"Stoklar, maliyet ile gerçekleşebilir değerin düşük olanıyla ölçülür."
Q-R,Reasonable estimate,Gerçeğe uygun (makul) tahmin,Estimate based on adequate information and sound judgement.,The provision was based on a reasonable estimate of future costs.,"Karşılık, gelecekteki maliyetlere ilişkin makul bir tahmine dayanıyordu."
Q-R,Reasonably possible,Makul ölçüde olası,More than remote but less than likely to occur.,"A loss was assessed as reasonably possible, not probable.","Bir zararın gerçekleşmesi olası değil, makul ölçüde olası olarak değerlendirildi."
Q-R,Reassessment,Tekrar değerlendirme,A review of a previous judgement or measurement to determine whether it remains appropriate.,A reassessment of the lease term was required after the renewal option was exercised.,Yenileme opsiyonu kullanıldıktan sonra kiralama süresinin tekrar değerlendirilmesi gerekmiştir.
Q-R,Reassessment of Embedded Derivatives,Saklı Türev Ürünlerinin Yeniden Değerlendirilmesi,Standard requiring review whether an embedded derivative must be separated.,IFRIC 9 addresses the reassessment of embedded derivatives.,"IFRIC 9, saklı türev ürünlerinin yeniden değerlendirilmesini ele alır."
Q-R,Rebates,İndirimler,Amounts returned to a customer after a purchase.,The entity recognized rebates as a reduction of revenue.,"İşletme, indirimleri hasılattan bir azalma olarak muhasebeleştirdi."
Q-R,Rebuttable presumption,Aksi ispat edilene kadar hukuken geçerli öngörü,An assumption accepted unless evidence disproves it.,There is a rebuttable presumption that the acquirer is the former owner.,Edinen işletmenin eski sahip olduğuna dair aksi ispatlanabilir bir öngörü vardır.
Q-R,Receivables,Alacaklar,Amounts owed to an entity by customers or others.,Receivables are measured at amortised cost less impairment.,"Alacaklar, itfa edilmiş maliyetten değer düşüklüğü düşülerek ölçülür."
Q-R,Reclassification adjustments,Yeniden sınıflandırma düzeltmeleri,Amounts reclassified from other comprehensive income to profit or loss in the current period.,Reclassification adjustments are disclosed separately to avoid double counting items of other comprehensive income.,"Yeniden sınıflandırma düzeltmeleri, diğer kapsamlı gelir kalemlerinin iki kez sayılmasını önlemek için ayrı olarak açıklanır."
Q-R,Reclassification date,Yeniden sınıflandırma tarihi,The date on which an item is reclassified.,The reclassification date marks the change in measurement.,"Yeniden sınıflandırma tarihi, ölçümdeki değişimi gösterir."
Q-R,Recognised financial instruments,Muhasebeleştirilmiş finansal araçlar,Financial instruments recorded in the statement of financial position.,Only recognised financial instruments appear in the balance sheet.,Bilançoda yalnızca muhasebeleştirilmiş finansal araçlar yer alır.
Q-R,Recognition,Kayda alma / muhasebeleştirme,Incorporating an item into the financial statements.,Recognition of the asset occurred when control transferred.,"Varlığın muhasebeleştirilmesi, kontrol devredildiğinde gerçekleşti."
Q-R,Recognition as an expense,Giderleştirme,The treatment of a cost as an expense in profit or loss rather than as an asset.,Research costs were recognised as an expense when incurred.,"Araştırma maliyetleri, oluştukları anda gider olarak muhasebeleştirilmiştir."
Q-R,Recognition criteria,Kayda alma / muhasebeleştirme kriteri,Conditions required to record an item in the financial statements.,The asset met the recognition criteria.,"Varlık, kayda alma kriterlerini karşıladı."
Q-R,Reconciliation,Mutabakat/mutabakata varma,Process of making two sets of figures consistent.,The reconciliation explains differences between the two balances.,"Mutabakat, iki bakiye arasındaki farkları açıklar."
Q-R,Recourse loan,Geri ödemeli kredi,A loan for which the lender has recourse to the borrower.,The recourse loan was recognised as a financial liability.,"Geri ödemeli kredi, finansal borç olarak muhasebeleştirildi."
Q-R,Recoverability,Geri kazanılabilirlik,The ability to recover a carrying amount.,The recoverability of the asset was questioned.,Varlığın geri kazanılabilirliği sorgulandı.
Q-R,Recoverable,Geri kazanılabilir,"Capable of being recovered through future use or sale, as opposed to being written off.",The asset's carrying amount was reduced to its recoverable amount.,"Varlığın defter değeri, geri kazanılabilir tutarına indirildi."
Q-R,Recoverable amount,Geri kazanılabilir tutar,The higher of fair value less costs and value in use.,The recoverable amount exceeded the carrying amount.,"Geri kazanılabilir tutar, defter değerini aştı."
Q-R,Recycling,Geri dönüşüm,Transferring amounts in other comprehensive income to profit or loss.,Recycling of gains on disposal is permitted for some items.,Bazı kalemler için elden çıkarma kazançlarının geri dönüşümüne izin verilir.
Q-R,Redemption,İtfa,Repayment or cancellation of an instrument by the issuer.,The bonds are subject to redemption at the option of the issuer.,"Tahviller, ihraççının opsiyonu ile itfaya tabidir."
Q-R,Redemption amount,İtfa tutarı,The amount payable to the holder when a financial instrument is redeemed.,The redemption amount of the preference shares was disclosed in the notes.,İmtiyazlı hisselerin itfa tutarı dipnotlarda açıklanmıştır.
Q-R,Redemption price,İtfa fiyatı,Amount paid to redeem a security at or before maturity.,The redemption price was set at par value.,İtfa fiyatı nominal değer olarak belirlendi.
Q-R,Redemption prohibition,Geri satın alım yasaklaması,Restriction preventing an entity from redeeming its instruments.,A redemption prohibition applied to the preference shares.,İmtiyazlı hisseler için geri satın alım yasaklaması uygulandı.
Q-R,Refinancing,Borcun çevrilmesi / yenilenmesi / yeniden finanse etme,Replacing an existing debt with new financing.,Refinancing completed before year-end allowed non-current classification.,"Yıl sonundan önce tamamlanan yeniden finansman, uzun vadeli sınıflandırmaya imkân verdi."
Q-R,Reformatted,Yeniden düzenlenmiş,Restructured for a new presentation.,The comparative figures were reformatted for consistency.,"Karşılaştırmalı tutarlar, tutarlılık için yeniden düzenlendi."
Q-R,Reformatted (IAS),Yeniden düzenlenmiş (UMS),A standard that has been restructured or reissued in a new format without changing its substantive requirements.,The reformatted International Accounting Standard was issued with updated references but no change in content.,"Yeniden düzenlenmiş Uluslararası Muhasebe Standardı, içeriği değişmeden güncellenmiş referanslarla yayımlandı."
Q-R,Refund or a reduction in future contributions,Geri ödemeler veya gelecekte yapılacak katkılardaki azalışlar,Recoveries from a benefit plan.,A refund reflects a surplus in the plan.,"Geri ödeme, plandaki fazlalığı yansıtır."
Q-R,Regular way purchase or sale,Normal yoldan alım veya satım,Purchase or sale of a financial asset under a standard contract.,Regular way purchases are recognised on trade date or settlement date.,"Normal yoldan alımlar, ticari işlem tarihinde veya takas tarihinde muhasebeleştirilir."
Q-R,Regulator,Düzenleyici,Body that supervises and regulates financial markets.,The regulator required additional disclosures from the bank.,"Düzenleyici, bankadan ek açıklamalar talep etti."
Q-R,Rehabilitate-operate-transfer,İyileştir-işlet-devret,"A concession model in which the operator renovates existing infrastructure, operates it and then transfers it back to the public sector.",The water treatment plant was modernised under a rehabilitate-operate-transfer concession.,"Su arıtma tesisi, iyileştir-işlet-devret imtiyazı kapsamında modernize edilmiştir."
Q-R,Reimbursement,Tazminat (tazmin etme),Compensation received for costs or losses incurred.,The insurer confirmed reimbursement of the loss.,Sigortacı zararın tazminini onayladı.
Q-R,Reinsurance assets,Reasürans varlıkları,Ceded reinsurance amounts recognized as an asset.,Reinsurance assets are presented separately from liabilities.,"Reasürans varlıkları, yükümlülüklerden ayrı olarak sunulur."
Q-R,Reinsurance contract,Reasürans poliçesi,A contract by which an insurer transfers risk to a reinsurer.,The reinsurance contract was assessed for significant risk transfer.,"Reasürans poliçesi, önemli risk devri açısından değerlendirildi."
Q-R,Reinsurer,Reasürör (sigortacıyı sigortalayan),An insurer that insures another insurer.,The reinsurer assumes part of the insurer's risk.,"Reasürör, sigortacının riskinin bir kısmını üstlenir."
Q-R,Reinvestment of dividends,Hisse senedine dönüşümlü temettü,The use of dividends received to purchase additional shares instead of taking cash.,The shareholder elected reinvestment of dividends to acquire additional shares in the company.,"Hissedar, nakit almak yerine ek hisse edinmek amacıyla hisse senedine dönüşümlü temettü seçeneğini kullandı."
Q-R,Related parties,İlişkili taraflar,Parties with a relationship to the entity.,Related parties include key management personnel.,"İlişkili taraflar, kilit yönetici personeli içerir."
Q-R,Related Party Disclosures,İlişkili Taraf Açıklamaları,"IAS 24, requiring disclosure of related party transactions.",Related Party Disclosures require disclosure of key management compensation.,"İlişkili Taraf Açıklamaları, kilit yönetici ücretlerinin açıklanmasını gerektirir."
Q-R,Related party transaction,İlişkili tarafla yapılan işlem,Transfer of resources between related parties.,Each related party transaction must be disclosed.,Her ilişkili taraf işlemi açıklanmalıdır.
Q-R,Relevance,Uygunluk (ilgililik),The qualitative characteristic whereby information is capable of making a difference in users' decisions.,The information had predictive value and therefore possessed relevance.,"Bilgi, tahmin değerine sahipti ve bu nedenle uygunluk niteliğini taşıyordu."
Q-R,Reliability,Güvenilirlik,Quality of information that is free from material error.,Reliability of the estimate was questioned by auditors.,Tahminin güvenilirliği denetçiler tarafından sorgulandı.
Q-R,Reliability exception,Güvenilirlik istisnası,Exception allowing departure from a requirement for reliability reasons.,The reliability exception applies to certain related party disclosures.,"Güvenilirlik istisnası, belirli ilişkili taraf açıklamaları için geçerlidir."
Q-R,Reliable measurement test,Güvenilir ölçüm testi,A test of whether an amount can be measured reliably.,The provision failed the reliable measurement test.,"Karşılık, güvenilir ölçüm testini geçemedi."
Q-R,Reload feature,Yeniden yükleme özelliği,A feature granting new options automatically.,The reload feature grants additional options on exercise.,"Yeniden yükleme özelliği, kullanımda ek opsiyon verir."
Q-R,Reload option,Yeniden yükleme seçeneği,"A share option feature that grants the holder new options when existing options are exercised, replacing the shares used.","Under the reload option feature, exercising the option granted the holder a new option over the same number of shares.","Yeniden yükleme seçeneği özelliği uyarınca, opsiyonun kullanılması sahibine aynı sayıda hisse üzerinde yeni bir opsiyon sağladı."
Q-R,Remeasurement,Yeniden ölçüm,Recalculating an amount using new information.,Remeasurement of the plan was recognised in other comprehensive income.,"Planın yeniden ölçümü, diğer kapsamlı gelirde muhasebeleştirildi."
Q-R,Removal of accounts provision,Koşulsuz geri alım opsiyonları,Right to remove accounts from a securitisation structure.,The removal of accounts provision lets the transferor withdraw receivables.,"Koşulsuz geri alım opsiyonu, devreden tarafın alacakları geri çekmesine olanak tanır."
Q-R,Rendering of services,Hizmetlerin sunumu,Provision of services generating revenue from contracts.,Revenue from the rendering of services is recognised over time.,"Hizmetlerin sunumundan elde edilen gelir, zaman içinde muhasebeleştirilir."
Q-R,Renewal rights,Yenileme hakları,Rights held by a lessee or counterparty to extend the term of a contract.,The renewal rights were considered when determining the enforceable lease term.,Uygulanabilir kiralama süresi belirlenirken yenileme hakları dikkate alınmıştır.
Q-R,Reorganisations,Yeniden yapılandırmalar,Restructuring of an entity's legal or operating structure.,Reorganisations often involve significant one-off costs.,Yeniden yapılandırmalar genellikle önemli tek seferlik maliyetler içerir.
Q-R,Repackaging,Tekrar şekillendirme,Combining and reselling financial instruments in a new form.,Repackaging transactions were excluded from the consolidation scope.,Tekrar şekillendirme işlemleri konsolidasyon kapsamı dışında bırakıldı.
Q-R,Repairs and maintenance,Bakım ve onarımlar,Routine spending to keep assets in working order.,Repairs and maintenance are expensed as incurred.,"Bakım ve onarımlar, ortaya çıktıklarında gider olarak kaydedilir."
Q-R,Repayment,Geri ödeme,Returning borrowed funds.,Repayment of the loan is due in five years.,Kredinin geri ödemesi beş yıl içinde yapılacaktır.
Q-R,Replacement award,Yenileme hakları,"A share-based payment award granted to replace an existing award, for example in a business combination.",The replacement award granted to the acquiree's employees was measured with reference to the original award.,"Edinilen işletmenin çalışanlarına verilen yenileme hakları, orijinal hak esas alınarak ölçüldü."
Q-R,Replacement cost of an asset,Bir varlığın yerine koyma maliyeti,The cost to replace an asset.,Replacement cost reflects current market prices.,"Yerine koyma maliyeti, güncel piyasa fiyatlarını yansıtır."
Q-R,Repledge,Yeniden teminat olarak gösterme,Pledging collateral received from a counterparty to a third party.,The bank repledged the securities received as collateral.,"Banka, teminat olarak aldığı menkul kıymetleri yeniden teminat olarak gösterdi."
Q-R,Reportable segment,Raporlanabilir bölüm,A segment meeting the thresholds for separate reporting.,Only one reportable segment was identified this year.,Bu yıl yalnızca bir raporlanabilir bölüm belirlendi.
Q-R,Reporting currency,Raporlama para birimi,The currency in which an entity presents its financial statements.,The foreign operation's results were translated into the reporting currency.,"Yurtdışı faaliyetin sonuçları, raporlama para birimine çevrilmiştir."
Q-R,Reporting Currency – Measurement And Presentation of Financial Statements Under IAS 21 and IAS 29,Raporlama Para Birirmi – IAS 21 ve IAS 29 Uyarınca Finansal Tabloların Ölçümü ve Sunumu,Guidance on measuring and presenting statements under IAS 21 and IAS 29.,The paper discusses the reporting currency under IAS 21 and IAS 29.,"Belge, IAS 21 ve IAS 29 uyarınca raporlama para birimini ele alır."
Q-R,Reporting Currency – Translation from Measurement Currency to Presentation Currency,Raporlama Para Birimi – Ölçümde Kullanılan Para Biriminden Sunumda Kullanılan Para Birimine Çevirim,Converting amounts from measurement currency into the reporting currency.,Translation to the presentation currency uses the closing rate.,"Sunum para birimine çevirim, dönem sonu kuru kullanılarak yapılır."
Q-R,Reporting date,Raporlama tarihi,The date of the entity's financial statements.,Assets are measured as at the reporting date.,"Varlıklar, raporlama tarihi itibarıyla ölçülür."
Q-R,Reporting enterprise,Raporlayan kuruluş,The entity whose financial statements are prepared.,The reporting enterprise presents its own financial statements.,"Raporlayan kuruluş, kendi finansal tablolarını sunar."
Q-R,Reporting entity,Raporlayan işletme (işletme bölümü),"An entity, or a portion of an entity, for which financial statements are prepared and presented.",A reporting entity may be a single entity or a group comprising a parent and its subsidiaries.,"Bir raporlayan işletme, tek bir işletme ya da bir ana işletme ile bağlı ortaklıklarından oluşan bir grup olabilir."
Q-R,Reporting package,Raporlama paketi,A set of reports prepared for consolidation.,Subsidiaries submit a reporting package to the parent.,"Bağlı ortaklıklar, ana ortaklığa bir raporlama paketi sunar."
Q-R,Reporting period,Raporlama dönemi,Period covered by a set of financial statements.,The reporting period ends on 31 December each year.,Raporlama dönemi her yıl 31 Aralık'ta sona erer.
Q-R,Representational faithfulness,Temsil konusundaki güvenilirlik,Information faithfully representing the economic phenomena it purports to depict.,Representational faithfulness requires complete and neutral information.,"Temsil konusundaki güvenilirlik, eksiksiz ve tarafsız bilgi gerektirir."
Q-R,Repurchase agreement,Geri alım sözleşmesi,An agreement to sell securities with a commitment to buy them back at a later date.,The securities sold under the repurchase agreement were recorded as a collateralised borrowing.,"Geri alım sözleşmesi kapsamında satılan menkul kıymetler, teminatlı borçlanma olarak kaydedilmiştir."
Q-R,Repurchase transactions,Geri alım işlemleri,Sale of assets with an agreement to buy them back.,Repurchase transactions are treated as secured borrowings.,Geri alım işlemleri teminatlı borçlanma olarak ele alınır.
Q-R,Research,Araştırma,Original investigation undertaken to obtain new knowledge.,Research expenditure is expensed when incurred.,"Araştırma harcamaları, oluştuğunda gidere yazılır."
Q-R,Reserve,"Yedek, ihtiyat",A component of equity set aside for a purpose.,The revaluation reserve is presented within equity.,"Yeniden değerleme yedeği, özkaynak içinde sunulur."
Q-R,Residual cost,Kalıntı maliyet değeri,The remaining carrying amount of an item.,The residual cost reflects the remaining unrecognised value.,"Kalıntı maliyet değeri, kalan tanınmamış değeri yansıtır."
Q-R,Residual interest,Kalıntı pay,"The remaining interest in an entity after other interests have been accounted for, often measured at fair value.",The residual interest retained after the disposal was remeasured at fair value.,"Elden çıkarma sonrası elde tutulan kalıntı pay, gerçeğe uygun değeri üzerinden yeniden ölçüldü."
Q-R,Residual value,Kalıntı değer,The estimated value at the end of useful life.,The residual value is deducted from cost to find the depreciable amount.,"Kalıntı değer, amortismana tabi tutarı bulmak için maliyetten düşülür."
Q-R,Resolution of the IASB – Withdrawal of IAS 15 by the Board,IASB’nin Kararı – IAS 15’in Kurul Tarafından Yürürlükten Kaldırılması,Board decision removing IAS 15 from the standards.,The resolution of the IASB withdrew IAS 15 from its standards.,"IASB'nin kararı, IAS 15'i standartlarından çıkardı."
Q-R,Restatement,Yeniden belirleme ifade etme,Correcting previously issued financial statements for errors.,A restatement of prior period figures was required.,Önceki dönem tutarlarının yeniden belirtilmesi gerekliydi.
Q-R,Restricted shares,Sınırlandırılmış hisseler,"Shares subject to restrictions on transfer or vesting, often issued to employees as compensation.",The restricted shares granted to executives vest over three years.,"Yöneticilere verilen sınırlandırılmış hisseler, üç yıl içinde hak edilir."
Q-R,Restructuring,Yeniden yapılandırma,Programme that materially changes the scope or manner of operations.,The restructuring closed two production plants.,Yeniden yapılandırma iki üretim tesisini kapattı.
Q-R,Restructuring provision,Yeniden yapılandırma karşılığı,Liability recognized for the costs of a planned restructuring.,The restructuring provision covers employee termination costs.,"Yeniden yapılandırma karşılığı, çalışan işten çıkarma maliyetlerini kapsar."
Q-R,Result,Sonuç,The profit or loss for a period.,The result for the year was reported after tax.,"Yılın sonucu, vergi sonrası olarak raporlandı."
Q-R,Retail method,Perakende yöntemi,Estimating inventory value using retail prices.,The retail method estimates closing inventory at selling price less margin.,"Perakende yöntemi, kapanış stokunu satış fiyatından marj düşülerek tahmin eder."
Q-R,Retail store chain,Perakende mağaza zinciri,A business operating multiple retail outlets under common ownership or management.,The retail store chain reported strong like-for-like sales growth during the year.,"Perakende mağaza zinciri, yıl içinde benzer mağazalar bazında güçlü satış artışı bildirdi."
Q-R,Retained earnings,Dağıtılmamış kârlar,Cumulative profits not distributed.,Retained earnings are presented within equity.,"Dağıtılmamış kârlar, özkaynak içinde sunulur."
Q-R,Retained profit,Dağıtılmamış kâr,Cumulative profits kept in the entity rather than distributed.,Retained profit is reported within equity.,"Dağıtılmamış kâr, özkaynak içinde raporlanır."
Q-R,Retirement benefit plans,Emeklilik fayda planları,Arrangements providing benefits after employment ends.,The group sponsors several retirement benefit plans.,"Grup, birkaç emeklilik fayda planı sağlamaktadır."
Q-R,Retroactive classification,Geriye dönük sınıflandırma,The application of a classification decision to earlier periods as well as the current one.,The change in segment structure required retroactive classification of prior period figures.,"Bölüm yapısındaki değişiklik, önceki dönem rakamlarının geriye dönük sınıflandırılmasını gerektirmiştir."
Q-R,Retrospective application,Geriye dönük uygulama,Applying a new policy as if it had always been used.,The change was made by retrospective application.,Değişiklik geriye dönük uygulama yoluyla yapıldı.
Q-R,Retrospective restatement,Geriye dönük yeniden düzenleme,Correcting prior period figures as if the error never occurred.,The error was corrected through retrospective restatement.,"Hata, geriye dönük yeniden düzenleme yoluyla düzeltildi."
Q-R,Return on investment,Yatırım kârlılığı,A measure of the gain relative to the investment made.,The project's return on investment exceeded the hurdle rate.,"Projenin yatırım kârlılığı, asgari getiri oranını aştı."
Q-R,Return on plan assets (of an employee benefit plan),Sosyal güvenlik planı yatırım getirisi,Investment income earned on plan assets.,Return on plan assets reduces the pension cost.,"Plan yatırım getirisi, emeklilik maliyetini azaltır."
Q-R,Revaluation,Yeniden değerleme,"The remeasurement of a non-current asset to its fair value, with the increase recognised in other comprehensive income.",A revaluation of the property increased its carrying amount and recognised the surplus in other comprehensive income.,Gayrimenkulün yeniden değerlemesi defter değerini artırdı ve oluşan fazlalık diğer kapsamlı gelirde muhasebeleştirildi.
Q-R,Revaluation reserve,Yeniden değerleme yedeği,A reserve arising from revaluing assets.,The revaluation reserve increased with the property revaluation.,Gayrimenkulün yeniden değerlemesiyle yeniden değerleme yedeği arttı.
Q-R,Revaluation surplus,Yeniden değerleme fazlası,Increase in the carrying amount of an asset on revaluation.,The revaluation surplus is recognised in other comprehensive income.,"Yeniden değerleme fazlası, diğer kapsamlı gelirde muhasebeleştirilir."
Q-R,Revalued amount of an asset,Bir varlığın yeniden değerlenmiş tutarı,Fair value at revaluation date less subsequent depreciation.,The revalued amount of an asset replaces its carrying amount.,"Bir varlığın yeniden değerlenmiş tutarı, taşınan değeri yerine geçer."
Q-R,Revenue,Hasılat,"Income arising from the ordinary activities of an entity, such as the sale of goods or services.",Revenue from contracts with customers is recognised when control of the goods transfers.,"Müşterilerle yapılan sözleşmelerden elde edilen hasılat, malların kontrolü devredildiğinde muhasebeleştirilir."
Q-R,Revenue—Barter Transactions Involving Advertising Services,Hasılat – Reklam Hizmetleri İçeren Takas (Barter) İşlemleri,Guidance on recognising revenue from barter advertising deals.,SIC 31 covers barter transactions involving advertising services.,"SIC 31, reklam hizmetleri içeren takas işlemlerini kapsar."
Q-R,Reversal,"Ters kayıt, iptal",Reduction or cancellation of a previously recognized amount.,The reversal of the impairment loss increased profit.,"Değer düşüklüğü zararının ters kaydı, kârı artırdı."
Q-R,Reverse acquisition,Ters birleşme,A business combination where the legal acquiree is the accounting acquirer.,"In a reverse acquisition, the legal subsidiary is the accounting acquirer.","Ters birleşmede, hukuki bağlı ortaklık muhasebe açısından edinen taraftır."
Q-R,Reverse share split,Nominal değeri artırarak hisse senetlerini birleştirme,Combining shares to raise the nominal value.,A reverse share split reduces the number of shares outstanding.,"Hisse birleştirme, tedavüldeki hisse sayısını azaltır."
Q-R,Revised,Revize edilmiş,"Amended or updated, as applied to a standard, estimate or disclosure that has been changed.",The entity applied the revised standard prospectively from the beginning of the reporting period.,"İşletme, revize edilmiş standardı raporlama döneminin başından itibaren ileriye dönük olarak uyguladı."
Q-R,Revised (IAS),Gözden geçirilmiş (Yeniden düzenlenmiş),An amended version of a standard.,The revised standard applies to annual periods beginning after 2020.,"Gözden geçirilmiş standart, 2020'den sonra başlayan yıllık dönemlere uygulanır."
Q-R,Revoke a designation,Bir sınıflamanın iptal edilmesi,Cancelling a previous designation of a financial asset or liability.,An entity may revoke a designation only in limited circumstances.,"İşletme, bir sınıflamayı yalnızca sınırlı durumlarda iptal edebilir."
Q-R,Rewards associated with a leased asset,Finansal kiralamadan doğan kazanımlar.,Benefits and risks expected from the leased asset.,Rewards associated with a leased asset indicate a finance lease.,"Finansal kiralamadan doğan kazanımlar, bir finansal kiralamanın göstergesidir."
Q-R,Right of first refusal,İlk tercih hakkı,A contractual right to be offered an asset before it is offered to other parties.,The shareholder held a right of first refusal over any transfer of the shares.,"Ortak, hisselerin devrine ilişkin olarak ilk tercih hakkına sahipti."
Q-R,Right of set-off,Mahsup etme hakkı,Legal right to offset amounts owed between two parties.,The entity had a right of set-off over the balances.,İşletmenin bakiyeler üzerinde mahsup etme hakkı vardı.
Q-R,Right to explore,Araştırma yapma hakkı,Right held by an entity to explore for resources.,The entity holds the right to explore the offshore block.,"İşletme, açık deniz sahasını araştırma hakkına sahiptir."
Q-R,Rights issue,Yeni haklar içeren ihraç,An offer of new shares to existing shareholders.,The rights issue was made pro rata to existing shareholders.,"Yeni haklar içeren ihraç, mevcut hissedarlara oransal olarak yapıldı."
Q-R,"Rights to Interests Arising from Decommissioning, Restoration and Environmental Rehabilitation Funds","Hizmetten Çekme, Restorasyon ve Çevre Rehabilitasyon Fonlarından Kaynaklanan Paylar Üzerindeki Haklar",Rights over interests in decommissioning funds.,These rights to interests are recognised as an asset.,"Bu pay hakları, varlık olarak muhasebeleştirilir."
Q-R,Risk,Risk,"The possibility that actual outcomes will differ from expected outcomes, including financial risks such as credit, liquidity and market risk.",The entity discloses the nature and extent of the risks arising from financial instruments.,"İşletme, finansal araçlardan kaynaklanan risklerin niteliğini ve kapsamını açıklar."
Q-R,Risk exposure,Risk tutarı,The amount subject to risk.,The entity disclosed its risk exposure by type.,"İşletme, risk tutarını türüne göre açıkladı."
Q-R,Risk of divergence,Sapma riski,Risk that measured values move in different directions.,The hedge failed due to the risk of divergence between the variables.,"Riskten korunma, değişkenler arasındaki sapma riski nedeniyle başarısız oldu."
