Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
Q-R,Retroactive classification,Rückwirkende Klassifizierung,Die Anwendung einer Klassifizierungsentscheidung auf frühere Perioden sowie auf die laufende Periode.,Die Änderung der Segmentstruktur erforderte die rückwirkende Klassifizierung der Vorperiodenzahlen.
Q-R,Retrospective application,Rückwirkende Anwendung,"Anwendung einer neuen Bilanzierungsmethode, als wäre sie stets angewendet worden.",Die Änderung wurde durch rückwirkende Anwendung vorgenommen.
Q-R,Retrospective restatement,Rückwirkende Neufestsetzung,"Berichtigung der Vorperiodenzahlen, als sei der Fehler nie aufgetreten.",Der Fehler wurde durch rückwirkende Neufestsetzung berichtigt.
Q-R,Return on investment,Kapitalrendite / Return on Investment (ROI),Eine Kennzahl für den Ertrag im Verhältnis zur getätigten Investition.,Die Kapitalrendite des Projekts überstieg die geforderte Mindestrendite.
Q-R,Return on plan assets (of an employee benefit plan),Ertrag auf das Planvermögen (eines Leistungsplans),Erzielte Erträge aus den Anlagen des Planvermögens.,Der Ertrag auf das Planvermögen mindert den Pensionsaufwand.
Q-R,Revaluation,Neubewertung / Aufwertung,"Die Neumessung eines Vermögenswerts des Anlagevermögens auf seinen beizulegenden Zeitwert, wobei der Anstieg im sonstigen Gesamtergebnis erfasst wird.","Eine Neubewertung der Immobilie erhöhte deren Buchwert, und der Überschuss wurde im sonstigen Gesamtergebnis erfasst."
Q-R,Revaluation reserve,Neubewertungsrücklage,"Eine Rücklage, die aus der Neubewertung von Vermögenswerten entsteht.",Die Neubewertungsrücklage stieg durch die Neubewertung der Immobilie.
Q-R,Revaluation surplus,Neubewertungsüberschuss / Aufwertungsdifferenz,Erhöhung des Buchwerts eines Vermögenswerts bei Neubewertung.,Der Neubewertungsüberschuss wird im sonstigen Gesamtergebnis erfasst.
Q-R,Revalued amount of an asset,Neubewerteter Betrag eines Vermögenswerts,Beizulegender Zeitwert zum Neubewertungsstichtag abzüglich der nachfolgenden Abschreibungen.,Der neubewertete Betrag eines Vermögenswerts ersetzt dessen Buchwert.
Q-R,Revenue,Umsatzerlöse,"Erträge aus der gewöhnlichen Geschäftstätigkeit eines Unternehmens, wie dem Verkauf von Waren oder Dienstleistungen.","Umsatzerlöse aus Verträgen mit Kunden werden erfasst, wenn die Kontrolle über die Waren übergeht."
Q-R,Revenue—Barter Transactions Involving Advertising Services,Umsatzerlöse – Tauschgeschäfte (Barter) mit Werbeleistungen,Leitlinien zur Erfassung von Umsatzerlösen aus Barter-Werbegeschäften.,"SIC 31 behandelt Tauschgeschäfte, die Werbeleistungen beinhalten."
Q-R,Reversal,Rückbuchung / Auflösung,Minderung oder Aufhebung eines zuvor angesetzten Betrags.,Die Auflösung des Wertminderungsaufwands erhöhte den Gewinn.
Q-R,Reverse acquisition,Umgekehrter Unternehmenserwerb (Reverse Acquisition),"Ein Unternehmenszusammenschluss, bei dem das rechtlich erworbene Unternehmen das buchhalterisch erwerbende Unternehmen ist.",Bei einem umgekehrten Unternehmenserwerb ist die rechtliche Tochtergesellschaft der buchhalterische Erwerber.
Q-R,Reverse share split,Aktienzusammenlegung (Reverse Split),Zusammenlegung von Aktien zur Erhöhung des Nennwerts.,Eine Aktienzusammenlegung verringert die Anzahl der ausstehenden Aktien.
Q-R,Revised,Überarbeitet / revidiert,"Geändert oder aktualisiert, bezogen auf einen Standard, eine Schätzung oder eine Angabe, die verändert wurde.",Das Unternehmen wendete den überarbeiteten Standard vom Beginn des Berichtszeitraums an prospektiv an.
Q-R,Revised (IAS),Überarbeitet (IAS),Eine geänderte Fassung eines Standards.,"Der überarbeitete Standard gilt für Jahresperioden, die nach 2020 beginnen."
Q-R,Revoke a designation,Festlegung widerrufen / Zuordnung aufheben,Aufhebung einer zuvor getroffenen Festlegung eines finanziellen Vermögenswerts oder einer finanziellen Verbindlichkeit.,Ein Unternehmen kann eine Festlegung nur in begrenzten Situationen widerrufen.
Q-R,Rewards associated with a leased asset,Mit einem Leasingobjekt verbundene Erträge,Erwartete Vorteile und Erträge aus dem Leasingobjekt.,Die mit einem Leasingobjekt verbundenen Erträge sprechen für ein Finanzierungsleasing.
Q-R,Right of first refusal,Vorkaufsrecht,"Ein vertragliches Recht, dass ein Vermögenswert angeboten wird, bevor er anderen Parteien angeboten wird.",Der Gesellschafter hatte hinsichtlich jeder Übertragung der Anteile ein Vorkaufsrecht.
Q-R,Right of set-off,Aufrechnungsrecht / Verrechnungsrecht,"Rechtlicher Anspruch, zwischen zwei Parteien geschuldete Beträge zu verrechnen.",Das Unternehmen hatte über die Salden ein Aufrechnungsrecht.
Q-R,Right to explore,Aufsuchungsrecht / Erkundungsrecht,"Das Recht eines Unternehmens, nach Ressourcen zu erkunden.","Das Unternehmen hält das Recht, das Offshore-Feld zu erkunden."
Q-R,Rights issue,Bezugsrechtsemission / Kapitalerhöhung mit Bezugsrechten,Das Angebot neuer Aktien an bestehende Aktionäre.,Die Bezugsrechtsemission wurde den bestehenden Aktionären anteilig angeboten.
Q-R,"Rights to Interests Arising from Decommissioning, Restoration and Environmental Rehabilitation Funds","Rechte an Anteilen aus Rückbau-, Sanierungs- und Umweltsanierungsfonds",Rechte an Anteilen aus Stilllegungs- und Rückbaufonds.,Diese Anteilsrechte werden als Vermögenswert angesetzt.
Q-R,Risk,Risiko,"Die Möglichkeit, dass tatsächliche Ergebnisse von den erwarteten Ergebnissen abweichen, einschließlich Finanzrisiken wie Kredit-, Liquiditäts- und Marktrisiko.",Das Unternehmen legt Art und Umfang der aus Finanzinstrumenten entstehenden Risiken offen.
Q-R,Risk exposure,Risikoexposition / Risikoaussetzung,Der risikobehaftete Betrag.,Das Unternehmen legte seine Risikoexposition nach Risikotyp offen.
Q-R,Risk of divergence,Divergenzrisiko / Abweichungsrisiko,"Risiko, dass bewertete Größen sich in unterschiedliche Richtungen entwickeln.",Das Hedging scheiterte aufgrund des Abweichungsrisikos zwischen den Variablen.
Q-R,Risk-free interest rate,Risikofreier Zinssatz,Rendite einer Anlage ohne Ausfallrisiko.,Der Abzinsungssatz basierte auf dem risikofreien Zinssatz.
Q-R,Risks and rewards,Risiken und Erträge (Vorteile),"Die mit dem Eigentum an einem Vermögenswert verbundenen Risiken und Vorteile, die zur Beurteilung der Übertragung im Leasing und bei der Ausbuchung herangezogen werden.",Der Leasingvertrag übertrug im Wesentlichen alle Risiken und Erträge des Eigentums auf den Leasingnehmer.
Q-R,Risks and rewards of ownership,Risiken und Erträge der Eigentümerschaft,"Risikotragung von Gewinnen und Verlusten, die mit dem Eigentum an einem Vermögenswert verbunden sind.",Die Übertragung der Risiken und Erträge der Eigentümerschaft bestimmt den Ansatz.
Q-R,Risks associated with a leased asset,Mit einem Leasingobjekt verbundene Risiken,Risiken aus dem Eigentum an oder der Nutzung eines Leasingobjekts.,Im Wesentlichen alle mit dem Leasingobjekt verbundenen Risiken wurden übertragen.
Q-R,Roll back,Rückführung eines Betrags,Minderung eines Buchwerts auf einen niedrigeren früheren Wert.,Das Unternehmen musste den Neubewertungsüberschuss zurückführen.
Q-R,Roll forward,Fortschreibung / Vortrag eines Betrags,Übertragung eines Saldos in die folgende Periode.,Die Bewegungsübersicht trägt den Rückstellungssaldo fort.
Q-R,Royalty,Lizenzgebühr / Tantieme,"Eine Zahlung an den Eigentümer eines Vermögenswerts, etwa eines Patents oder einer Marke, für das Recht zu dessen Nutzung.",Lizenzgebührenerträge aus der Markenlizenzierung werden nach dem Periodenabgrenzungsprinzip erfasst.
S,Sale,Verkauf,Übertragung eines Vermögenswerts gegen ein Entgelt.,"Umsatzerlöse aus dem Verkauf werden erfasst, wenn die Kontrolle übergeht."
S,Sale and leaseback transaction,Sale-and-Lease-back-Transaktion / Verkauf und Rückleasing,"Geschäft, bei dem ein Eigentümer einen Vermögenswert verkauft und ihn zurückleast.",Das Unternehmen erfasste einen Gewinn aus der Sale-and-Lease-back-Transaktion.
S,SARS,Aktienwertsteigerungsrechte (Share Appreciation Rights),"Rechte, die Arbeitnehmern die Wertsteigerung von Aktien auszahlen.",Den Arbeitnehmern wurden in bar abzuwickelnde Aktienwertsteigerungsrechte (SARS) gewährt.
S,Scope,Anwendungsbereich / Geltungsbereich,"Der Umfang der Geschäfte oder Unternehmen, auf die ein Standard oder eine Bilanzierungsmethode anwendbar ist.",Das Geschäft fiel in den Anwendungsbereich des Leasingstandards.
S,Scope of IFRS 2,Anwendungsbereich des IFRS 2,"Das Ausmaß, in dem die Vorschriften zu auf Aktien basierenden Vergütungen (share-based payment) anwendbar sind.",Der Anwendungsbereich des IFRS 2 umfasst auf Eigenkapital basierende Gewährungen.
S,Secondary segment information,Sekundäre Segmentinformationen,"Segmentangaben, die für das sekundäre Berichtsformat bereitgestellt werden.",Sekundäre Segmentinformationen werden nach geografischen Gebieten berichtet.
S,Securities,Wertpapiere,Handelbare Finanzinstrumente wie Aktien und Schuldverschreibungen.,Zu Handelszwecken gehaltene Wertpapiere werden zum beizulegenden Zeitwert bewertet.
S,Securitisation,Verbriefung,Umwandlung von Vermögenswerten in handelbare Wertpapiere.,Die Verbriefung überträgt finanzielle Vermögenswerte auf eine Zweckgesellschaft.
S,Segment,Segment / Geschäftsbereich / Teilbereich,"Ein abgrenzbarer Teilbereich eines Unternehmens, für den separate Finanzinformationen verfügbar sind und von der Geschäftsführung beurteilt werden.",Die Vermögenswerte und Verbindlichkeiten jedes Segments werden im Anhang zur Segmentberichterstattung offengelegt.
S,Segment assets,Segmentvermögenswerte,Einem berichtspflichtigen Segment zurechenbare Vermögenswerte.,Die Segmentvermögenswerte werden für jedes Segment offengelegt.
S,Segment expense,Segmentaufwendungen,Aufwendungen aus der Geschäftstätigkeit eines Segments.,Die Segmentaufwendungen umfassen die dem Segment direkt zurechenbaren Kosten.
S,Segment manager,Segmentleiter / Segmentmanager,"Person, die für die Geschäftstätigkeit eines berichtspflichtigen Segments verantwortlich ist.",Der Segmentleiter berichtet die Ergebnisse an die Geschäftsleitung.
S,Segment profit or loss,Segmentgewinn oder Segmentverlust,"Der Gewinn oder Verlust eines operativen Segments, wie er dem für operative Entscheidungen zuständigen Entscheider (chief operating decision maker) berichtet wird.",Das Segmentergebnis jedes berichtspflichtigen Segments wurde im Anhang offengelegt.
S,Segment Reporting,Segmentberichterstattung,Offenlegung von Finanzinformationen nach operativen Segmenten.,"Die Segmentberichterstattung hilft den Nutzern, verschiedene Geschäftsbereiche zu beurteilen."
S,Segment result,Segmentergebnis,Gewinn oder Verlust eines berichtspflichtigen operativen Segments.,Das Segmentergebnis wird vor nicht zugeordneten Konzernkosten ausgewiesen.
S,Segment revenue,Segmentumsatzerlöse / Segmenterlöse,Einem berichtspflichtigen Segment zurechenbare Umsatzerlöse.,Die Segmentumsatzerlöse werden für jedes berichtspflichtige Segment offengelegt.
S,Self-constructed asset,Selbst erstellter Vermögenswert,"Ein Vermögenswert, den das Unternehmen selbst erstellt hat.",Die Kosten eines selbst erstellten Vermögenswerts umfassen die direkt zurechenbaren Kosten.
S,Self-insurance,Selbstversicherung,"Ein Risikomanagementansatz, bei dem ein Unternehmen ein Risiko selbst behält, anstatt es auf einen Versicherer zu übertragen.",Das Unternehmen praktiziert für kleinere Sachschadenansprüche eine Selbstversicherung.
S,Selling price,Verkaufspreis,"Der Preis, zu dem eine Ware verkauft wird.",Der Verkaufspreis bestimmt die Umsatzerlöse für die Einheit.
S,Sensitivity analysis,Sensitivitätsanalyse,"Methode, die zeigt, wie sich Ergebnisse bei Änderungen der Annahmen verändern.",Die Bank legte eine Sensitivitätsanalyse für das Marktrisiko offen.
S,Separability,Separierbarkeit / Abtrennbarkeit,"Fähigkeit eines Vermögenswerts, getrennt und verkauft werden zu können.",Die Separierbarkeit ist ein Kriterium für den Ansatz immaterieller Vermögenswerte.
S,Separability criterion,Separierbarkeitskriterium,"Die Voraussetzung, dass ein immaterieller Vermögenswert getrennt und verkauft oder übertragen werden kann.",Die Software erfüllte das Separierbarkeitskriterium und wurde als immaterieller Vermögenswert angesetzt.
S,Separable assets,Separierbare Vermögenswerte,"Vermögenswerte, die eigenständig getrennt und verkauft werden können.",Im Rahmen der Kaufpreisaufteilung wurden separierbare Vermögenswerte identifiziert.
S,Separate financial statements,Einzelabschluss / separate Abschlüsse,"Abschlüsse, die von einem Mutter- oder Investorunternehmen für sich allein aufgestellt werden.",In den Einzelabschlüssen werden Tochterunternehmen zu Anschaffungskosten bilanziert.
S,Separate liability,Eigenständige Verbindlichkeit / gesonderte Verbindlichkeit,"Eine Verbindlichkeit, die für sich allein angesetzt wird und nicht als Teil einer anderen.",Die Garantie wird als eigenständige Verbindlichkeit angesetzt.
S,Separately identifiable,Gesondert identifizierbar / separat identifizierbar,"Fähig, gesondert identifiziert zu werden.",Der Vermögenswert ist gesondert vom Firmenwert identifizierbar.
S,Service Concession Arrangement,Dienstleistungskonzessionsvereinbarung (Service Concession Arrangement),"Eine Vereinbarung, bei der ein Staat einem privaten Betreiber das Recht einräumt, über einen bestimmten Zeitraum hinweg öffentliche Dienstleistungen zu erbringen.",Im Rahmen einer Dienstleistungskonzessionsvereinbarung setzt der Betreiber einen finanziellen Vermögenswert oder einen immateriellen Vermögenswert an.
S,Service cost,Dienstleistungskosten (Perioden-Servicekosten),Die in der laufenden Periode erdiente Leistung.,Die Dienstleistungskosten werden in der Gewinn- und Verlustrechnung erfasst.
S,Service date,Datum der Dienstleistung (Dienstleistungsdatum),"Datum, an dem ein Arbeitnehmer Leistungen unter einem Plan erbringt.",Die Leistungen (Ansprüche) erwachsen ab dem Datum der Dienstleistung des Arbeitnehmers.
S,Service mark,Dienstleistungsmarke,"Eine Marke, die die Dienstleistungen eines Anbieters kennzeichnet.",Das Unternehmen hat für seine Marke eine Dienstleistungsmarke eingetragen.
S,Servicing asset,Servicing-Vermögenswert (Betreuungsaktivposten),"Ein Recht auf Vergütungen für die Betreuung (Servicing) finanzieller Vermögenswerte, das die angemessene Vergütung übersteigt.",Der einbehaltene Servicing-Vermögenswert wurde bei Entstehung mit dem beizulegenden Zeitwert bewertet.
S,Servicing costs,Servicing-Kosten (Kosten der Betreuung),Kosten der Verwaltung von Krediten oder Vermögenswerten für Dritte.,Die Servicing-Kosten minderten die Nettozinserträge.
S,Servicing liabilities,Servicing-Verbindlichkeiten,"Verpflichtungen zur Betreuung (Servicing) finanzieller Vermögenswerte, die nach der Übertragung einbehalten werden.",Servicing-Verbindlichkeiten werden anfänglich mit dem beizulegenden Zeitwert bewertet.
S,Servicing liability,Servicing-Verbindlichkeit,Eine Verpflichtung zur Betreuung (Servicing) finanzieller Vermögenswerte.,Für das einbehaltene Servicing wurde eine Servicing-Verbindlichkeit angesetzt.
S,Servicing rights,Servicing-Rechte (Betreuungsrechte),Rechte zur Betreuung (Servicing) übertragener finanzieller Vermögenswerte.,"Servicing-Rechte werden angesetzt, wenn die Vermögenswerte übertragen werden."
S,Set of financial statements,Vollständiger Abschluss (Gesamtheit der Finanzberichte),"Die Gesamtheit der Abschlussteile, die zur Darstellung der Vermögens-, Finanz- und Ertragslage sowie der Cashflows eines Unternehmens erforderlich ist.","Ein vollständiger Abschluss umfasst eine Bilanz (Finanzlageübersicht), eine Gewinn- und Verlustrechnung sowie weitere Übersichten."
S,"Set-off, legal right of",Gesetzliches Aufrechnungsrecht (Recht zur Saldierung),"Ein rechtlich durchsetzbares Recht, Beträge miteinander zu verrechnen.","Um Salden zu verrechnen, ist ein gesetzliches Aufrechnungsrecht erforderlich."
S,Settle net = net settlement,Nettoabwicklung (Nettoregulierung),Erfüllung eines Vertrags durch Leistung nur des Nettobetrags.,Die Verträge werden netto in bar abgewickelt.
S,Settlement,Erfüllung (Begleichung),Das Erlöschen einer Verbindlichkeit durch Zahlung oder Übertragung von Ressourcen.,Die Erfüllung der Verbindlichkeit erfolgte in der Folgeberiode.
S,Settlement (of employee benefit obligations),Erfüllung von Verpflichtungen aus Leistungen an Arbeitnehmer (Abgeltung),"Ein Geschäftsvorfall, der die weitere gesetzliche oder faktische Verpflichtung für einen Teil oder alle der Leistungen zum Erlöschen bringt.","Die Erfüllung der Altersversorgungsverpflichtung führte zu einem Ertrag, der in der Gewinn- und Verlustrechnung erfasst wurde."
S,Settlement date,Erfüllungstag (Verrechnungstag),"Datum, an dem ein Geschäft endgültig erfüllt wird.",Das Geschäft wurde am Erfüllungstag gebucht.
S,Settlement date accounting,Bilanzierung zum Erfüllungstag,"Erfassung von Geschäften zu dem Zeitpunkt, an dem die Vermögenswerte geliefert werden.",Das Unternehmen wendet die Bilanzierung zum Erfüllungstag auf gewöhnliche Geschäfte (Regular-Way-Geschäfte) an.
S,Settlement provision,Rückstellung für die Erfüllung (Regulierungsrückstellung),"Eine Rückstellung, die für eine erwartete Erfüllung gebildet wird.",Für den Anspruch wurde eine Erfüllungsrückstellung gebildet.
S,Settlement value,Erfüllungswert (Regulierungswert),"Der Wert, zu dem eine Verbindlichkeit erfüllt wird.",Der Erfüllungswert wurde mit der Gegenpartei vereinbart.
S,Severally liable,Nur für den eigenen Anteil haftend (Einzelhaftung),"Situation, in der jede Partei einer Gesamtverpflichtung nur für ihren eigenen Anteil an der Verbindlichkeit haftet.",Nach dem Gesellschaftsvertrag haftet jeder Gesellschafter für die Schulden des Unternehmens nur in Höhe seines Anteils.
S,Shadow accounting,Schattenbilanzierung (Shadow Accounting),Angleichung der Rechnungslegung zwischen Versicherungsnehmern und Anteilseignern.,Die Schattenbilanzierung grenzt bestimmte unrealisierte Gewinne ab.
S,Share,Anteil / Aktie,Einheit des Eigentumsanteils am Kapital einer Gesellschaft.,Jede Aktie gewährt ein Stimmrecht.
S,Share appreciation rights,Rechte auf Aktienwertsteigerung (Kursanstaltsrechte),"Zusagen, die in bar ausgeglichen werden und auf der Steigerung des Aktienkurses basieren.",Rechte auf Aktienwertsteigerung werden mit dem beizulegenden Zeitwert bewertet.
S,Share buy-back arrangements,Vereinbarungen über den Rückkauf eigener Aktien,"Vereinbarungen, durch die ein Unternehmen eigene Aktien von den Aktionären zurückkauft.",Im Rahmen der Rückkaufvereinbarungen erworbene eigene Aktien wurden vom Eigenkapital abgesetzt.
S,Share call options,Aktien-Kaufoptionen,"Verträge, die das Recht einräumen, Aktien zu einem festgelegten Preis zu kaufen.",Führenden Managern wurden Aktien-Kaufoptionen gewährt.
S,Share capital,Gezeichnetes Kapital / Grundkapital,Der von den Aktieninhabern eingebrachte Kapitalbetrag.,Das gezeichnete Kapital wird in der Bilanz ausgewiesen.
S,Share Capital – Reacquired Own Equity Instruments (Treasury Shares),Gezeichnetes Kapital – Rückgekaufte eigene Eigenkapitalinstrumente (eigene Aktien),"Rückgekaufte eigene Aktien, die vom Eigenkapital abgesetzt werden.",Eigene Aktien werden vom Eigenkapital abgesetzt.
S,Share consolidation,Aktienzusammenlegung,Zusammenfassung mehrerer Aktien in eine Aktie.,Die Aktienzusammenlegung verringerte die Zahl der Stammaktien.
S,Share option,Aktienoption,"Ein Vertrag, der dem Inhaber das Recht einräumt, Aktien eines Unternehmens innerhalb eines festgelegten Zeitraums zu einem bestimmten Preis zu erwerben.","Die Anwartschaftsbedingungen (Vesting Conditions) der Aktienoption verlangen, dass der Arbeitnehmer drei Jahre im Dienst bleibt."
S,Share option plan,Aktienoptionsplan,"Ein Plan, der Arbeitnehmern Aktienoptionen einräumt.",Der Aktienoptionsplan wird über drei Jahre unverfallbar (vested).
S,Share premium,Kapitalrücklage (Aktienagio),Der für Aktien über deren Nennwert hinaus vereinnahmte Betrag.,Die Emission brachte eine Kapitalrücklage (Agio) von zwei Millionen.
S,Share split,Aktiensplit,"Erhöhung der Zahl der ausstehenden Aktien, ohne dass sich das Gesamtkapital ändert.",Der Aktiensplit verdoppelte die Zahl der ausgegebenen Aktien.
S,Share warrant,Aktienwarrant (Bezugschein),"Ein Wertpapier, das dem Inhaber das Recht einräumt, vor einem festgelegten Datum Aktien zu einem bestimmten Preis zu erwerben.",Die vom Unternehmen begebenen Aktienwarrants wurden als Eigenkapitalinstrumente klassifiziert.
S,Share-based Payment,Zahlungen auf Aktienbasis (Share-based Payment),"Standard zur Bilanzierung von Zahlungen, die in Aktien oder bar beglichen werden.",IFRS 2 regelt Geschäftsvorfälle mit Zahlungen auf Aktienbasis.
S,Share-based payment arrangement,Vereinbarung über Zahlungen auf Aktienbasis,"Vereinbarung, Waren oder Dienstleistungen mit Aktien (Eigenkapitalinstrumenten) zu vergüten.",Die Vereinbarung über Zahlungen auf Aktienbasis wird über drei Jahre unverfallbar (vested).
S,Share-based payment awards,Zusagen auf Aktienbasis (Aktienvergütungen),"Zusagen, die durch Ausgabe von Aktien oder Aktienoptionen erfüllt werden.",Zusagen auf Aktienbasis werden über den Dienstleistungszeitraum unverfallbar (vested).
S,Share-based payment transaction,Geschäftsvorfall mit Zahlungen auf Aktienbasis,"Ein Geschäftsvorfall, der in Aktien oder Optionen erfüllt wird.",Der Geschäftsvorfall mit Zahlung auf Aktienbasis wird mit dem beizulegenden Zeitwert bewertet.
S,Shareholder,Aktionär / Anteilseigner,"Eine Person oder ein Unternehmen, das Aktien einer Gesellschaft besitzt und einen Restanspruch an deren Nettovermögenswerten hält.",An Aktionäre gezahlte Dividenden werden direkt im Eigenkapital erfasst.
S,Shareholders’ equity,Eigenkapital (der Aktionäre),Der nach Abzug der Schulden verbleibende Restanspruch an den Vermögenswerten.,Das Eigenkapital setzt sich aus Kapital und Rücklagen zusammen.
S,Short seller,Leerverkäufer,"Marktteilnehmer, der geliehene Wertpapiere verkauft in der Erwartung fallender Kurse.",Der Leerverkäufer muss die geliehenen Aktien später zurückgeben.
S,Short-term employee benefits,Kurzfristige Leistungen an Arbeitnehmer,"Leistungen, die innerhalb von zwölf Monaten nach Erbringung der Arbeitsleistung fällig werden.",Kurzfristige Leistungen an Arbeitnehmer umfassen Löhne und bezahlten Urlaub.
S,SIC,"SIC (Standing Interpretations Committee, Ständiger Interpretationsausschuss)","Ein früheres Gremium, das Interpretationen zur Anwendung der International Accounting Standards herausgab.",Die SIC-Interpretationen wurden nach und nach durch IFRIC-Interpretationen ersetzt.
S,Significant influence,Maßgeblicher Einfluss,"Die Befugnis, an Entscheidungen über die Finanz- und Geschäftspolitik mitzuwirken.",Eine Beteiligung von 30 % verleiht in der Regel einen maßgeblichen Einfluss.
S,Single product enterprise,Einproduktunternehmen,"Unternehmen, dessen Umsatzerlöse überwiegend aus einem Produkt stammen.",Ein Einproduktunternehmen kann dennoch betriebliche Segmente berichten.
S,Sinking fund,Tilgungsfonds,Zurückgestellte Mittel zur Rückzahlung einer Schuld bei Fälligkeit.,"Das Unternehmen richtete einen Tilgungsfonds ein, um die Anleihen zurückzuzahlen."
S,Social security,Sozialversicherung,Von staatlicher Seite getragene Leistungssysteme.,Sozialversicherungsbeiträge werden als Aufwand erfasst.
S,Social security contribution,Sozialversicherungsbeitrag,"Zahlungen, die ein Arbeitgeber oder Arbeitnehmer für Leistungen an Arbeitnehmer an ein Sozialversicherungssystem leistet.","Sozialversicherungsbeiträge werden in der Periode als Aufwand erfasst, in der die entsprechende Arbeitsleistung erbracht wird."
S,Solvency,Solvenz / Zahlungsfähigkeit,"Die Fähigkeit, Verbindlichkeiten bei Fälligkeit nachzukommen.",Die Solvenz wird anhand von Liquiditäts- und Kapitalkennzahlen beurteilt.
S,SPE,SPE (Special Purpose Entity) / Zweckgesellschaft,"Ein Unternehmen, das für einen eng umgrenzten, klar definierten Zweck gegründet wird.","Die Bank gründete eine Zweckgesellschaft, um die verbrieften Vermögenswerte zu halten."
S,Special purpose entity,"Zweckgesellschaft (Special Purpose Entity, SPE)","Ein Unternehmen, das für ein eng umgrenztes, klar definiertes Ziel gegründet wird.","Die Zweckgesellschaft wurde gegründet, um verbriefte Vermögenswerte zu halten."
S,Specific identification of costs,Spezifische (individuelle) Identifikation der Kosten,"Ein Verfahren, bei dem Kosten einzelnen Positionen direkt und nicht durch Umlage zugerechnet werden.",Für das Bauprojekt wurden die Kosten mittels spezifischer Identifikation der Kosten zugerechnet.
S,Specifically identified cash flows,Eindeutig identifizierte Cashflows,"Cashflows, die eindeutig einem bestimmten Vermögenswert oder einer bestimmten Verbindlichkeit zugeordnet sind.",Das Sicherungsgeschäft wurde eindeutig identifizierten Cashflows zugeordnet.
S,Speculative grade,Spekulative Bonitätsnote (unter Investment-Grade),"Kreditwürdigkeitseinstufung unterhalb des Investment-Grade, die auf ein höheres Risiko hinweist.",Die Anleihen wurden nach der Herabstufung in den spekulativen Bereich (unter Investment-Grade) eingestuft.
S,Spin-off,Abspaltung (Spin-off),Ausgliederung eines Unternehmensteils in ein eigenständiges Unternehmen.,Im Zuge der Abspaltung wurden die Aktien der Tochtergesellschaft an die Aktionäre ausgegeben.
S,Sponsoring employers,Sponsernde Arbeitgeber (Plan-Sponsoren),"Arbeitgeber, die einen Leistungsplan finanzieren.",Die sponsernden Arbeitgeber tragen die Risiken des Altersversorgungsplans.
S,Spot exchange rate,Kassakurs (Spot-Kurs),"Der Wechselkurs für die sofortige Lieferung von Währungen, der zur Umrechnung von Fremdwährungsgeschäften bei der Ersterfassung verwendet wird.",Das Fremdwährungsgeschäft wurde mit dem Kassakurs am Transaktionstag gebucht.
S,Spot foreign exchange risk,Spot-Devisenkursrisiko,"Risiko, das aus Kassakursen (Spot-Kursen) entsteht.",Das Spot-Devisenkursrisiko entsteht durch die sofortige Abwicklung.
S,Spot rate,Kassakurs (Spot-Kurs),Wechselkurs für die sofortige Lieferung von Währungen.,Die Transaktion wurde zu dem an diesem Tag geltenden Kassakurs umgerechnet.
S,Stand-alone basis,Einzelbetrachtung (Stand-alone-Basis),Betrachtung eines Unternehmens ohne Einbeziehung des Mutterunternehmens oder des Konzerns.,Die Tochtergesellschaft wurde auf Stand-alone-Basis (einzeln) beurteilt.
S,Stand-alone derivative,Eigenständiges Derivat,"Ein Derivatinstrument, das eigenrechtlich besteht und nicht in einen anderen Vertrag eingebettet ist.",Der Terminkontrakt (Forward) war ein eigenständiges Derivat und wurde mit dem beizulegenden Zeitwert bewertet.
S,Stand-alone entity,Einzelaufstellendes Unternehmen (Stand-alone-Unternehmen),"Unternehmen, das berichtet, ohne andere Unternehmen zu konsolidieren.",Das Mutterunternehmen erstellte einen Einzelabschluss (Stand-alone-Abschluss).
S,Stand-by credit facilities,Stand-by-Kreditlinien (Bereitstellungskredite),"Zugesagte Kreditaufnahmemöglichkeiten, die bei Bedarf zur Verfügung stehen.",Stand-by-Kreditlinien stellen eine zusätzliche Liquiditätsreserve bereit.
S,Standard cost method,Standardkostenmethode,Bewertung der Vorräte auf Basis vorbestimmter Standardkosten.,Die Standardkostenmethode wird für die routinemäßige Vorratsbewertung verwendet.
S,Standby letters of credit,Stand-by-Akkreditive (Aval-/Garantieakkreditive),Eine Zahlungsgarantie einer Bank.,Das Stand-by-Akkreditiv unterstützt die Zahlungsverpflichtung des Unternehmens.
S,Standing Interpretation Committee,Ständiger Interpretationsausschuss (SIC),"Ein Ausschuss, der Interpretationen zu Rechnungslegungsstandards entwickelte, um abweichende oder nicht akzeptable Bilanzierungen zu beseitigen.","Der Ständige Interpretationsausschuss gab Interpretationen heraus, um die Anwendung der bestehenden Standards zu klären."
S,Start-up costs,Gründungs- und Anlaufkosten,Kosten zur Einrichtung eines neuen Geschäftsbetriebs.,"Gründungs- und Anlaufkosten werden in dem Zeitpunkt, in dem sie entstehen, als Aufwand erfasst."
S,State (employee benefit) plan,Staatlicher (Leistungs-)Plan,"Ein Plan, der vom Staat und nicht vom berichtenden Unternehmen betrieben wird.",Beiträge an einen staatlichen Plan werden bei Fälligkeit als Aufwand erfasst.
